Nombre,Resistencia,GMR,Diametro,,
Partridge,0.23562,0.00661,0.01631,,
Ostrich,0.20953,0.00698,0.01727,,
Merlin,0.18871,0.00677,0.01737,,
Linnet,0.18678,0.00741,0.01831,,
Oriole,0.1856,0.00777,0.01882,,
Chickadee,0.15982,0.00735,0.01887,,
Ibis,0.15851,0.00805,0.01989,,
Pelican,0.13347,0.00805,0.02068,,
Flicker,0.1326,0.00866,0.02149,,
Hawk,0.13173,0.00881,0.02179,,
Hen,0.13092,0.00927,0.02243,,
Osprey,0.11452,0.00866,0.02233,,
Parakeet,0.11384,0.00933,0.02322,,
Dove,0.11346,0.00957,0.02355,,
Rook,0.09961,0.00997,0.02482,,
Grosbeak,0.09917,0.01021,0.02515,,
Drake,0.07978,0.01137,0.02814,,
Tern,0.0809,0.01073,0.027,,
Rail,0.06785,0.01177,0.02959,,
Cardinal,0.06723,0.01225,0.03038,,
Ortolan,0.06282,0.01225,0.03081,,
Bluejay,0.0535,0.01265,0.03198,,
Finch,0.0517,0.01353,0.03284,,
Bittern,0.05101,0.0142,0.03416,,
Pheasant,0.04635,0.01433,0.03625,,
Bobolink,0.04567,0.01506,0.03721,,
Plover,0.04213,0.01518,0.03815,,
Lapwing,0.04145,0.01594,0.03924,,
Falcon,0.032,0.01786,0.04475,,
